Song Name,First two lines,Album
Delicate,"This ain't for the best. My reputation's never been worse, so.",6
Look What You Made Me Do,I don't like your little games. Don't like your tilted stage.,6
End Game ,I wanna be your end game. I wanna be your first string.,6
I Did Something Bad,I never trust a narcissist. But they love me.,6
...Ready For It?,Knew he was a killer. First time that I saw him.,6
King Of My Heart,I'm perfectly fine. I live on my own.,6
Don't Blame Me,"Don't blame me, love made me crazy. If it doesn't, you ain't doin' it right.",6
Getaway Car,"No, nothing good starts in a getaway car. It was the best of times, the worst of crimes.",6
Gorgeous,Gorgeous. You should take it as a compliment.,6
This is Why We Can't Have Nice Things,It was so nice throwing big parties. Jumping in the pool from the balcony.,6
So It Goes...,"See you in the dark. All eyes on you, my magician.",6
Call It What You Want,My castle crumbled overnight. I brought a knife to a gunfight.,6
Dancing With Our Hands Tied,"I, I loved you in secret. First sight, yeah.",6
Dress,Our secret moments. in a crowded room.,6
New Year's Day,There's glitter on the floor after the party. Girls carrying their shoes down in the lobby.,6
Blank Space,"Nice to meet you, where you been?. I could show you incredible things.",5
Shake It Off,I stay out too late. Got nothing in my brain.,5
Style,"Midnight, you come and pick me up. No headlights.",5
Bad Blood,"Cause baby, now we got bad blood. You know, we used to be mad love.",5
Wildest Dreams,"He said ""let's get out of this town. Drive out of the city, away from the crowd"".",5
All You Had To do Was Stay,People like you always want back. The love they gave away.,5
Clean,The drought was the very worst. When the flowers that we'd grown together died of thirst.,5
How You Get The Girl,"Stand there like a ghost. Shaking from the rain, rain.",5
I Know Places,"I, I, I, I, I, I, I. You just stand with your hand on my waistline.",5
I Wish You Would,It's two A. M.,5
New Romantics,"We're all bored, we're all so tired of everything. We wait for trains that just aren't coming.",5
Out Of The Woods,"Looking at it now, it all seemed so simple. We were lying on your couch.",5
This Love,"Clear blue water, high tides came. And brought you in.",5
Welcome To New York,Walking through a crowd. The village is aglow.,5
Wonderland,Flashing lights. And we took a wrong turn.,5
You Are In Love,"One look, dark room. Meant just for you.",5
22,It feels like a perfect night. To dress up like hipsters.,4
I Knew You Were Trouble,"Once upon a time, a few mistakes ago. I was in your sights, you got me alone.",4
Red,Loving him is like driving. A new Maserati down a dead end street.,4
All Too Well,"I walked through the door with you. The air was cold, but something 'bout it.",4
Begin Again,Took a deep breath in the mirror. He didn't like it when I wore high heels.,4
Come Back... Be Here,"You said it in a simple way. 4am, the second day.",4
Everything Has Changed,All I knew this morning when I woke. Is I know something now.,4
Girl At Home,Don't look at me. You've got a girl at home.,4
Holy Ground,"I was reminiscing just the other day. While having coffee all alone and Lord, it took me away.",4
I Almost Do,"I bet this time of night you're still up. I bet you're tired from a long, hard week.",4
Ronan,I remember your barefeet down the hallway. I remember your little laugh.,4
Run,If there's a plane or a bus leaving Dallas. I hope you're on it.,4
Sad Beautiful Tragic,"Long handwritten note, deep in your pocket. Words, how little they mean.",4
Starlight,"I said oh my, what a marvellous tune. It was the best night, never would forget how we moved.",4
State Of Grace,I'm walking fast through the traffic lights. Busy streets and busy lives.,4
Stay Stay Stay,I'm pretty sure we almost broke up last night. I threw my phone across the room at you.,4
The Last Time,Found myself at your door. Just like all those times before.,4
The Lucky One,New in town with a made up name in the angel city. Chasing fortune and fame.,4
The Moment I Knew,You should've been there. Should've burst through the door.,4
Treacherous,Put your lips close to mine. As long as they don't touch.,4
We Are Never Ever Getting Back Together,"I remember when we broke up, the first time. Saying this is it I've had enough.",4
Long Live,I said remember this moment. In the back of my mind.,3
Mine,Oh oh ooo o. Oh oh ooo o.,3
Back To December,"I'm so glad you made time to see me. How's life? Tell me, how's your family?.",3
Better Than Revenge,The story starts when it was hot and it was summer,3
Dear John,Long were the nights when my days once revolved around you. Counting my footsteps praying the floor won't fall through again.,3
Enchanted,"There I was again tonight forcing laughter, faking smiles. Same old tired, lonely place.",3
Haunted,You and I walk a fragile line. I have known it all this time.,3
If This Was a Movie,Last night I heard my own heart beating. Sounded like footsteps on my stairs.,3
Innocent,Guess you really did it this time. Left yourself in your war path.,3
Last Kiss,I still remember the look on your face. Lit through the darkness at 1:58.,3
Mean,"You, with your words like knives. And swords and weapons that you use against me.",3
Never Grow Up,Your little hands wrapped around my finger. And it's so quiet in the world tonight.,3
Ours,Elevator buttons and morning air. Stranger silence makes me wanna take the stairs.,3
Sparks Fly,The way you move is like a fool on rainstorm. And I'm a house of cards.,3
Speak Now,I am not the kind of girl. Who should be rudely bargin' in on a white veil occasion.,3
The Story Of Us,I used to think one day we'd tell the story of us. How we met and sparks flew instantly.,3
Today Was A Fairytale,Today was a fairytale. You were the prince.,3
Love Story,We were both young. When I first saw you.,2
You Belong With Me,"You're on the phone with your girlfriend. She's upset, she's going off about.",2
Breathe,I see your face in my mind as I drive away. Cause none of us thought it was gonna end that way.,2
Change,And it's a sad picture. The final blow hits you.,2
Fearless,There's somethin' 'bout the way. The street looks when it's just rained.,2
Fifteen,You take a deep breath and you walk through the doors. It's the morning of your very first day.,2
Forever & Always,Once upon a time. I believe it was a tuesday when I caught your eye.,2
Hey Stephen,Hey Stephen. I know looks can be deceiving.,2
Tell Me Why,"I took a chance, I took a shot. And you might think I'm bulletproof, but i'm not.",2
The Best Day,I'm five years old. It's getting cold.,2
The Other Side Of The Door,In the heat of the a fight. I walked away.,2
The Way I Loved You,He is sensible and. So incredible and.,2
Untouchable,Untouchable like. A distant diamond sky.,2
We Were Happy,We used to walk along the street. When the porch lights were shining bright.,2
White Horse,Say you're sorry. That face of an angel comes out.,2
You All Over Me,"Once the last drop of rain, has dried off the pavement. Shouldn't I find a stain, but I never do.",2
You're Not Sorry,All this time I was wasting hoping you would come around. I've been giving out chances everytime and all you do is let me down.,2
A Perfectly Good Heart,Why would you wanna break a perfectly good heart?,1
A Place In This World,"I don't know what I want, so don't ask me. Cause I'm still trying to figure it out.",1
Cold As You,You have a way of coming easily to me.,1
I'm Only Me When I'm With You,Friday night beneath the stars. In a field behind your yard.,1
Invisible,She can't see the way your eyes. Will light up when you smile.,1
Mary's Song (Oh My My My),"She said, I was seven and you were nine. I looked at you like the stars that shined.",1
Our Song,I was ridin' shotgun. with my hair undone.,1
Picture To Burn,State the obvious. I didn't get my perfect fantasy.,1
Should've Said No,"It's strange to think the songs we used to sing. The smiles, the flowers, everything: is gone.",1
Stay Beautiful,"Cory's eyes are like a jungle. He smiles, it's like the radio.",1
Teardrops On My Guitar,Drew looks at me.,1
The Outside,"I didn't know what I would find. When I went looking for a reason, I know.",1
Tied Together With A Smile,Seems the only one who doesn't see your beauty. Is the face in the mirror looking back at you.,1
Tim Mcgraw,You said the way my blue eyes shined. Put those Georgia stars to shame that night.,1
